[Wed May 18 15:31:42 CEST 2022][INFO] 58: Breite: 1600, Höhe: 900 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 59: Breite: 1600, Höhe: 900 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 60: Breite: 1600, Höhe: 900 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 61: Breite: 1600, Höhe: 900 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 62: Breite: 1600, Höhe: 1024 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 63: Breite: 1600, Höhe: 1024 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 64: Breite: 1600, Höhe: 1024 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 65: Breite: 1600, Höhe: 1024 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 66: Breite: 1600, Höhe: 1024 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 67: Breite: 1600, Höhe: 1024 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 68: Breite: 1600, Höhe: 1024 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 69: Breite: 1600, Höhe: 1200 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 70: Breite: 1600, Höhe: 1200 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 71: Breite: 1600, Höhe: 1200 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 72: Breite: 1600, Höhe: 1200 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 73: Breite: 1600, Höhe: 1200 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 74: Breite: 1600, Höhe: 1200 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 75: Breite: 1600, Höhe: 1200 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 76: Breite: 1600, Höhe: 1200 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 77: Breite: 1920, Höhe: 1080 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] SET! (Fenster.java:210)
